year,China,Japan,Ireland,Brazil,United-Kingdom,Switzerland,Cayman-Islands,Luxembourg,HongKong,Taiwan,Saudi-Arabia,India,Singapore,Belgium,Russia,Korea-South,Canada,France,Germany,Bermuda,Thailand,United-Arab-Emirates,Turkey,Norway,Netherlands,Sweden,Poland,Mexico,Australia,Kuwait,Philippines,Italy,Spain,Colombia,Israel,Chile,Indonesia,South-Africa,Iraq,Kazakhstan,Peru,Malaysia,Denmark,Vietnam,Oman,All-Other
2008,727.4,626,54.3,127,131.1,62.3,,97.3,77.2,71.8,,29.2,40.9,15.9,116.4,31.3,,16.8,56,,32.4,,30.2,23.1,15.4,12.7,,34.8,10.3,,11.7,16,,11.2,18.8,15.2,,,,,,,,,,163.2,
2009,894.8,765.7,43.6,169.2,180.3,89.7,,88.4,148.7,116.5,,32.5,39.2,17.3,141.8,40.3,52.8,30.5,47.8,,33.3,,28.1,12.1,20.4,15.2,22.9,36.8,16.3,,11.7,21.1,13.7,17.3,13.8,12.4,,,,,,11.7,,,,150.6,
2010,1160.1,882.3,45.8,186.1,270.4,106.8,,86.4,134.2,155.1,,40.5,72.9,33.2,151,36.2,75.3,15,60.5,,52,,28.9,19.6,22.7,16.8,25.5,33.6,14.9,,20.1,23.7,,20.2,20.6,13.9,,,,,,11.5,,,,193.3,
2011,1151.9,1058.1,97.7,226.9,114.3,142.4,,147.6,121.7,177.3,,43.5,75.1,135.2,149.5,47.3,45.1,44.7,60.7,,51.6,,32,56.7,21.7,28.9,28.5,29.4,21.8,,32.7,22.8,24,23.5,19.3,23,,12.1,,,,20.6,16.5,,,214.7,
2012,1220.4,1111.2,103.1,253.3,123,195.4,142.1,154.7,141.9,195.4,77.6,59.5,99.3,138.8,161.5,47.6,66.2,51.4,63.2,98.7,53.6,43.7,57.6,75.1,32,27.8,31.5,61.1,27.4,28,36.8,27.5,27.4,30.2,24.1,33,26,13.1,49.4,28.1,14.5,19.3,13.8,,17.7,271,
2013,1270.1,1182.5,179.6,245.4,152.2,176.7,162.5,134.6,158.8,182.2,78,68.5,86.2,256.8,138.6,54,55.9,53.8,67.3,51.7,51.7,39.5,52.2,87.3,37,33.9,30.9,65.1,33.8,28.8,40.2,30.3,23,33,23.7,26.1,22.5,11.3,35.2,29.2,14.8,11.8,14.5,,19.4,231.3,
2014,1244.3,1230.9,202,255.8,179.7,190.1,187.9,171.8,172.6,174.4,97.9,83,110,335.4,86,68.3,69,79.2,72.7,49.2,33.2,75.3,77,81.6,36.2,39.6,27.7,84.8,34.5,32.1,40.6,31.9,27.7,34.7,25.2,25.5,24.3,,26.4,31.6,10.9,,16.7,14,21.4,234.4,
2015,1246.1,1122.4,264.4,254.8,207.1,231.7,249.8,199.6,200.1,178.7,118.9,116.8,110.3,121.7,92.1,74.6,72.4,59.6,74.6,59.8,39.1,69.5,64.6,69.1,49.1,39.4,30.2,72.2,30.6,31.4,43,34.6,36.2,36.8,20.8,27.3,20.6,10.2,19.4,22.6,12.5,,21.1,12.3,20,256.2,
2016,1058.4,1090.8,288.2,259.2,217.2,230,263.7,224.3,191.4,189.3,102.8,118.2,102.2,120.4,86.1,93.2,83,61.4,82.3,64.1,66,60.6,59.1,52.5,57.4,38.7,34,47.1,34.6,28.7,38.5,39.9,38.3,28.2,31.6,29.2,24.6,,14,24,12.2,13.2,19.1,13.8,14.3,249.4,
2017,1184.9,1061.5,326.5,256.8,250,249.6,245.8,217.6,194.7,180.9,147.4,144.7,125,119.2,102.2,96.2,86.1,80.9,72.3,67,60.9,57.7,52.6,51.1,48.6,43.9,40,38.7,37.5,36.8,36.4,35.2,33.5,29.8,29.3,28.9,27.1,23.1,20.7,17.4,16.3,15.5,14.8,14.8,11.7,253.1,
