Countries,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Total,continent
China,1184.9,1176.6,1189.2,1182.3,1201.7,1166.9,1146.5,1102.2,1092.2,1088.1,1059.7,1051.1,13641.4,Asia
Japan,1061.5,1084.1,1094,1096,1101.7,1113.3,1090.3,1111.5,1106.9,1120.7,1115.7,1102.5,13198.2,Asia
Ireland,326.5,324.3,312.4,310.6,309,312.3,304.4,297.8,301.9,313.9,309,293.7,3715.8,Europe
Brazil,256.8,265.3,270,272.8,273.6,271.9,269.7,269.7,267.7,259.5,257.7,257.7,3192.4,America
Switzerland,249.6,250.9,254,253.3,248.2,244.5,244.1,239.4,234.1,227.6,234.3,224,2904,Europe
United-Kingdom,250,237.5,225.9,237.4,225,229.6,236,236.4,231.5,228.3,217.5,214.1,2769.2,Europe
Cayman-Islands,245.8,240.4,247.2,246.9,242.9,240.5,249.3,250.1,243.6,248.2,256.8,254.3,2966,America
Luxembourg,217.6,218.3,217.9,213.9,213.3,213,211.6,208,212.1,218.3,217.8,218.9,2580.7,Europe
HongKong,194.7,194.9,192.3,194.4,194.5,196.7,201.1,196.6,196.8,195.1,197.1,189.4,2343.6,Asia
Taiwan,180.9,179.9,181.7,183.9,182,184.1,185.9,181.2,185.6,183.8,183.6,183.6,2196.2,Asia
India,144.7,140.8,141.4,145.1,138.9,135.7,130.3,127.3,124.1,117.1,112.3,113.7,1571.4,Asia
Saudi-Arabia,147.4,147.6,145.2,136.7,137.9,142.5,142,134,126.8,124.5,116.7,112.3,1613.6,Asia
Belgium,119.2,115.3,116,104.8,96.9,99.4,98.3,98.7,96.4,109.9,105.7,112.2,1272.8,Europe
Singapore,125,124.2,130.4,125.2,119.3,112.3,106.4,107.9,107,103.1,107.4,103.3,1371.5,Asia
Korea,96.2,98.5,100.1,94.3,95,97.9,96.8,100.1,93.8,97.1,96.9,95.6,1162.3,Asia
Russia,102.2,105.7,105,103.9,105.4,103.1,102.9,108.7,104.9,99.8,86.3,86.2,1214.1,Asia
Canada,86.1,82.4,78,75,73.6,75.5,76.5,80.1,80.4,77.5,81.9,80,947,America
France,80.9,76.6,77.9,78.2,76,80,72.2,74.4,66.9,69.9,64.4,60.8,878.2,Europe
Germany,72.3,71.6,72.9,74.9,73,73.3,68.3,68.3,74.7,77,73.1,71.6,871,Europe
Bermuda,67,63.5,62.9,62.4,62.3,61.5,60.2,59.8,59.2,59.4,61,61.5,740.7,America
Thailand,60.9,68,68.4,70.8,71.6,67.2,66.1,66.5,69.7,69.3,71.4,72.9,822.8,Asia
United-Arab-Emirates,57.7,58.2,57.7,54.3,55.9,59.9,58.8,60.5,60.6,63,61.7,61.2,709.5,Asia
Turkey,52.6,61.2,61.5,60.8,57.7,54.5,58.9,49.5,56.4,59,58.3,58.4,688.8,Asia
Norway,51.1,55.3,60.6,64.1,58,54.9,53.7,48.3,51.4,48.9,45.8,43.1,635.2,Europe
Sweden,43.9,44.7,45.3,45.9,44.3,42.7,41,40.8,41.1,40.6,39.1,38.2,507.6,Europe
Netherlands,48.6,47.6,45.1,47.5,50.3,50.5,53.1,52.2,49.1,51.2,52.8,54.2,602.2,Europe
Poland,40,38.4,38.8,37.3,36.3,35.6,34.1,35,33.9,34.9,34.2,34.3,432.8,Europe
Australia,37.5,40.6,38.7,36.9,37.8,37.9,38.1,37.1,35.2,37.6,34.7,37,449.1,Australia
Kuwait,36.8,36.8,39.4,38,35.6,33,31.8,31.6,31.3,32.4,29.8,29.4,405.9,Asia
Italy,35.2,35.6,34.5,35.3,35.4,36.2,36.1,35.6,35,35.2,37.5,38.2,429.8,Europe
Spain,33.5,36.2,36.9,38.1,38.2,38.2,36.6,37.9,38.3,38,37.7,37.7,447.3,Europe
Mexico,38.7,40.6,41.6,40.5,34.7,35.8,32.4,38.9,40.2,38.8,49.5,48.1,479.8,America
Philippines,36.4,35.8,36.4,35.5,36.3,38.1,37.9,38.2,38.1,36.6,36.9,36.5,442.7,Asia
Other countries,502.6,508.8,505,505,487.4,491.7,480.5,484.2,473.3,470.7,468.2,473.9,5851.3,Others
